,meter2
1347134100,0.0000000000e+00
1347134160,0.0000000000e+00
1347134220,0.0000000000e+00
1347134280,0.0000000000e+00
1347134340,0.0000000000e+00
1347134400,0.0000000000e+00
1347134460,0.0000000000e+00
1347134520,0.0000000000e+00
1347134580,0.0000000000e+00
1347134640,0.0000000000e+00
1347134700,0.0000000000e+00
1347134760,0.0000000000e+00
1347134820,0.0000000000e+00
1347134880,0.0000000000e+00
1347134940,0.0000000000e+00
1347135000,0.0000000000e+00
1347135060,0.0000000000e+00
1347135120,0.0000000000e+00
1347135180,0.0000000000e+00
1347135240,0.0000000000e+00
1347135300,0.0000000000e+00
1347135360,0.0000000000e+00
1347135420,0.0000000000e+00
1347135480,0.0000000000e+00
1347135540,0.0000000000e+00
1347135600,0.0000000000e+00
1347135660,0.0000000000e+00
1347135720,0.0000000000e+00
1347135780,0.0000000000e+00
1347135840,0.0000000000e+00
1347135900,0.0000000000e+00
1347135960,0.0000000000e+00
1347136020,0.0000000000e+00
1347136080,0.0000000000e+00
1347136140,0.0000000000e+00
1347136200,0.0000000000e+00
1347136260,0.0000000000e+00
1347136320,0.0000000000e+00
1347136380,0.0000000000e+00
1347136440,0.0000000000e+00
1347136500,0.0000000000e+00
1347136560,0.0000000000e+00
1347136620,0.0000000000e+00
1347136680,0.0000000000e+00
1347136740,0.0000000000e+00
1347136800,0.0000000000e+00
